Claves válidas para un alfabeto de tamaño n = 27
------------------------------
a          b          a^-1      
14         14         2         
14         15         2         
14         16         2         
14         17         2         
14         18         2         
14         19         2         
14         20         2         
14         21         2         
14         22         2         
14         23         2         
14         24         2         
14         25         2         
14         26         2         
16         0          22        
16         1          22        
16         2          22        
16         3          22        
16         4          22        
16         5          22        
16         6          22        
16         7          22        
16         8          22        
16         9          22        
16         10         22        
16         11         22        
16         12         22        
16         13         22        
16         14         22        
16         15         22        
16         16         22        
16         17         22        
16         18         22        
16         19         22        
16         20         22        
16         21         22        
16         22         22        
16         23         22        
16         24         22        
16         25         22        
16         26         22        
17         0          8         
17         1          8         
17         2          8         
17         3          8         
17         4          8         
17         5          8         
17         6          8         
17         7          8         
17         8          8         
17         9          8         
17         10         8         
17         11         8         
17         12         8         
17         13         8         
17         14         8         
17         15         8         
17         16         8         
17         17         8         
17         18         8         
17         19         8         
17         20         8         
17         21         8         
17         22         8         
17         23         8         
17         24         8         
17         25         8         
17         26         8         
19         0          10        
19         1          10        
19         2          10        
19         3          10        
19         4          10        
19         5          10        
19         6          10        
19         7          10        
19         8          10        
19         9          10        
19         10         10        
19         11         10        
19         12         10        
19         13         10        
19         14         10        
19         15         10        
19         16         10        
19         17         10        
19         18         10        
19         19         10        
19         20         10        
19         21         10        
19         22         10        
19         23         10        
19         24         10        
19         25         10        
19         26         10        
20         0          23        
20         1          23        
20         2          23        
20         3          23        
20         4          23        
20         5          23        
20         6          23        
20         7          23        
20         8          23        
20         9          23        
20         10         23        
20         11         23        
20         12         23        
20         13         23        
20         14         23        
20         15         23        
20         16         23        
20         17         23        
20         18         23        
20         19         23        
20         20         23        
20         21         23        
20         22         23        
20         23         23        
20         24         23        
20         25         23        
20         26         23        
22         0          16        
22         1          16        
22         2          16        
22         3          16        
22         4          16        
22         5          16        
22         6          16        
22         7          16        
22         8          16        
22         9          16        
22         10         16        
22         11         16        
22         12         16        
22         13         16        
22         14         16        
22         15         16        
22         16         16        
22         17         16        
22         18         16        
22         19         16        
22         20         16        
22         21         16        
22         22         16        
22         23         16        
22         24         16        
22         25         16        
22         26         16        
23         0          20        
23         1          20        
23         2          20        
23         3          20        
23         4          20        
23         5          20        
23         6          20        
23         7          20        
23         8          20        
23         9          20        
23         10         20        
23         11         20        
23         12         20        
23         13         20        
23         14         20        
23         15         20        
23         16         20        
23         17         20        
23         18         20        
23         19         20        
23         20         20        
23         21         20        
23         22         20        
23         23         20        
23         24         20        
23         25         20        
23         26         20        
25         0          13        
25         1          13        
25         2          13        
25         3          13        
25         4          13        
25         5          13        
25         6          13        
25         7          13        
25         8          13        
25         9          13        
25         10         13        
25         11         13        
25         12         13        
25         13         13        
25         14         13        
25         15         13        
25         16         13        
25         17         13        
25         18         13        
25         19         13        
25         20         13        
25         21         13        
25         22         13        
25         23         13        
25         24         13        
25         25         13        
25         26         13        
26         0          26        
26         1          26        
26         2          26        
26         3          26        
26         4          26        
26         5          26        
26         6          26        
26         7          26        
26         8          26        
26         9          26        
26         10         26        
26         11         26        
26         12         26        
26         13         26        
26         14         26        
26         15         26        
26         16         26        
26         17         26        
26         18         26        
26         19         26        
26         20         26        
26         21         26        
26         22         26        
26         23         26        
26         24         26        
26         25         26        
26         26         26        
